
             , Sta.Nu, Sh.in, Lif.in, LIFT, SWEAT, K index, Tot tot, 
12:00 22 May ,  76225,  5.91,  5.60,  5.21,  79.98,  11.10,  39.20,  0.00,  0.00,  0.00,  272.72,  12.79
12:00 23 May ,  76225,  2.43,  2.46,  2.19,  98.19,  25.50,  45.80,  0.00,  0.00,  0.00,  272.89,  18.07
12:00 25 May ,  76225,  10.54,  9.86,  9.67,  48.00,  -2.10,  30.60,  0.00,  0.00,  0.00,  260.77,  4.77
12:00 26 May ,  76225,  12.11,  11.27,  11.09,  41.01,  -5.50,  26.20,  0.00,  0.00,  0.00,  258.03,  6.30
12:00 27 May ,  76225,  12.00,  11.28,  11.03,  32.98,  -9.10,  25.60,  0.00,  0.00,  0.00,  257.52,  6.32
12:00 28 May ,  76225,  7.17,  7.11,  7.07,  37.98,  0.30,  36.20,  0.00,  0.00,  0.00,  261.47,  9.88
12:00 29 May ,  76225,  1.13,  0.53,  0.44,  42.39,  16.50,  48.60,  0.00,  0.00,  0.00,  270.92,  13.93
12:00 30 May ,  76225,  0.24,  -0.17,  -0.30,  93.00,  24.30,  49.60,  19.82,  -270.36
12:00 31 May ,  76225,  -0.46,  0.05,  -0.34,  143.59,  28.50,  48.40,  24.00,  -243.90

12:00 01 Jun ,  76225,  3.98,  3.73,  3.30,  100.20,  23.50,  41.80,  0.00,  0.00,  0.00,  276.67,  18.87
12:00 02 Jun ,  76225,  3.44,  3.04,  2.99,  64.58,  22.10,  43.60,  0.00,  0.00,  0.00,  272.89,  19.15
12:00 03 Jun ,  76225,  1.78,  1.28,  1.02,  120.19,  22.10,  46.00,  0.00,  0.00,  0.00,  275.27,  17.19
12:00 04 Jun ,  76225,  4.68,  4.23,  4.08,  27.00,  14.70,  41.20,  0.00,  0.00,  0.00,  266.92,  14.82
12:00 05 Jun ,  76225,  1.16,  0.73,  0.64,  123.22,  25.70,  47.20,  0.00,  0.00,  0.00,  275.70,  23.15
12:00 06 Jun ,  76225,  2.45,  1.90,  1.90,  122.72,  28.10,  44.40,  0.00,  0.00,  0.00,  277.55,  28.21
12:00 07 Jun ,  76225,  0.77,  0.88,  0.83,  161.21,  32.30,  45.40,  0.00,  0.00,  0.00,  281.85,  32.26
12:00 08 Jun ,  76225,  1.04,  0.52,  0.37,  201.00,  31.20,  42.50,  6.05,  -164.19
12:00 09 Jun ,  76225,  -0.24,  -0.42,  -0.63,  215.21,  36.30,  44.00,  20.50,  -110.72
12:00 10 Jun ,  76225,  -1.44,  -1.50,  -2.47,  203.19,  36.50,  46.80,  457.87,  -186.33
12:00 11 Jun ,  76225,  3.38,  3.11,  2.26,  186.20,  26.90,  39.60,  18.60,  -280.52
12:00 12 Jun ,  76225,  5.48,  5.51,  4.97,  103.39,  18.70,  39.00,  0.00,  0.00,  0.00,  272.82,  17.45
