anio,mes,dia,hora(utc),altura(mm)
2016,2,9,9,531 
2016,2,9,10,515 
2016,2,9,11,501 
2016,2,9,12,494 
2016,2,9,13,495 
2016,2,9,14,497 
2016,2,9,15,495 
2016,2,9,16,492 
2016,2,9,17,491 
2016,2,9,18,475 
2016,2,9,19,413 
2016,2,9,20,295 
2016,2,9,21,146 
2016,2,9,22,8 
2016,2,9,23,-91 
2016,2,10,0,-137 
2016,2,10,1,-133 
2016,2,10,2,-90 
2016,2,10,3,-22 
2016,2,10,4,67 
2016,2,10,5,186 
2016,2,10,6,321 
2016,2,10,7,438 
2016,2,10,8,502 
2016,2,10,9,512 
2016,2,10,10,491 
2016,2,10,11,464 
2016,2,10,12,441 
2016,2,10,13,429 
2016,2,10,14,423 
2016,2,10,15,417 
2016,2,10,16,407 
2016,2,10,17,402 
2016,2,10,18,407 
2016,2,10,19,399 
2016,2,10,20,351 
2016,2,10,21,258 
2016,2,10,22,148 
2016,2,10,23,53 
2016,2,11,0,-6 
2016,2,11,1,-22 
2016,2,11,2,-2 
2016,2,11,3,41 
2016,2,11,4,96 
2016,2,11,5,169 
2016,2,11,6,266 
2016,2,11,7,375 
2016,2,11,8,457 
2016,2,11,9,489 
2016,2,11,10,477 
2016,2,11,11,442 
2016,2,11,12,404 
2016,2,11,13,374 
2016,2,11,14,354 
2016,2,11,15,337 
2016,2,11,16,315 
2016,2,11,17,294 
2016,2,11,18,289 
2016,2,11,19,304 
2016,2,11,20,314 
2016,2,11,21,292 
2016,2,11,22,240 
2016,2,11,23,179 
2016,2,12,0,132 
2016,2,12,1,113 
2016,2,12,2,122 
2016,2,12,3,150 
2016,2,12,4,183 
2016,2,12,5,217 
2016,2,12,6,264 
2016,2,12,7,333 
2016,2,12,8,408 
2016,2,12,9,457 
2016,2,12,10,464 
2016,2,12,11,435 
2016,2,12,12,389 
2016,2,12,13,343 
2016,2,12,14,305 
2016,2,12,15,273 
2016,2,12,16,238 
2016,2,12,17,198 
2016,2,12,18,168 
2016,2,12,19,169 
2016,2,12,20,199 
2016,2,12,21,234 
2016,2,12,22,250 
2016,2,12,23,245 
2016,2,13,0,235 
2016,2,13,1,235 
2016,2,13,2,250 
2016,2,13,3,276 
2016,2,13,4,302 
2016,2,13,5,316 
2016,2,13,6,324 
2016,2,13,7,342 
2016,2,13,8,381 
2016,2,13,9,424 
2016,2,13,10,445 
2016,2,13,11,432 
2016,2,13,12,391 
2016,2,13,13,338 
2016,2,13,14,285 
2016,2,13,15,237 
2016,2,13,16,188 
2016,2,13,17,132 
2016,2,13,18,77 
2016,2,13,19,46 
2016,2,13,20,58 
2016,2,13,21,109 
2016,2,13,22,174 
2016,2,13,23,231 
2016,2,14,0,273 
2016,2,14,1,309 
2016,2,14,2,346 
2016,2,14,3,386 
2016,2,14,4,419 
2016,2,14,5,433 
2016,2,14,6,425 
2016,2,14,7,405 
2016,2,14,8,397 
2016,2,14,9,409 
2016,2,14,10,427 
2016,2,14,11,428 
2016,2,14,12,401 
2016,2,14,13,352 
2016,2,14,14,293 
2016,2,14,15,232 
2016,2,14,16,170 
2016,2,14,17,101 
2016,2,14,18,27 
2016,2,14,19,-34 
2016,2,14,20,-57 
2016,2,14,21,-27 
2016,2,14,22,48 
2016,2,14,23,144 
2016,2,15,0,238 
2016,2,15,1,318 
2016,2,15,2,388 
2016,2,15,3,451 
2016,2,15,4,502 
2016,2,15,5,531 
2016,2,15,6,529 
2016,2,15,7,499 
2016,2,15,8,459 
2016,2,15,9,433 
2016,2,15,10,426 
2016,2,15,11,426 
2016,2,15,12,412 
2016,2,15,13,377 
2016,2,15,14,321 
2016,2,15,15,254 
2016,2,15,16,181 
2016,2,15,17,100 
2016,2,15,18,14 
2016,2,15,19,-67 
2016,2,15,20,-122 
2016,2,15,21,-129 
2016,2,15,22,-77 
2016,2,15,23,23 
2016,2,16,0,145 
2016,2,16,1,266 
2016,2,16,2,372 
2016,2,16,3,462 
2016,2,16,4,534 
2016,2,16,5,584 
2016,2,16,6,600 
2016,2,16,7,583 
2016,2,16,8,540 
2016,2,16,9,491 
2016,2,16,10,456 
2016,2,16,11,438 
2016,2,16,12,427 
2016,2,16,13,405 
2016,2,16,14,363 
2016,2,16,15,298 
2016,2,16,16,217 
2016,2,16,17,126 
2016,2,16,18,28 
2016,2,16,19,-67 
2016,2,16,20,-142 
2016,2,16,21,-179 
2016,2,16,22,-163 
2016,2,16,23,-88 
2016,2,17,0,32 
2016,2,17,1,173 
2016,2,17,2,309 
2016,2,17,3,426 
2016,2,17,4,519 
2016,2,17,5,587 
2016,2,17,6,624 
2016,2,17,7,627 
2016,2,17,8,600 
2016,2,17,9,556 
2016,2,17,10,508 
2016,2,17,11,472 
2016,2,17,12,451 
2016,2,17,13,434 
2016,2,17,14,407 
